id,name,price,description,category,inStock,aisle,brand,rating,imageUrl
prod_001,Great Value Whole Milk,3.48,Fresh whole milk 1 gallon,Dairy,true,A1,Great Value,4.2,https://images.pexels.com/photos/416978/pexels-photo-416978.jpeg
prod_002,Bananas,0.58,Fresh bananas per lb,Produce,true,A2,Fresh,4.5,https://images.pexels.com/photos/2872755/pexels-photo-2872755.jpeg
prod_003,Lay's Classic Potato Chips,2.98,Original flavor potato chips,Snacks,true,A3,Lay's,4.1,https://images.pexels.com/photos/4958792/pexels-photo-4958792.jpeg
prod_004,Coca-Cola 12 Pack,5.48,12 pack of Coca-Cola cans,Beverages,true,A4,Coca-Cola,4.3,https://images.pexels.com/photos/50593/coca-cola-cold-drink-soft-drink-coke-50593.jpeg
prod_005,Wonder Bread,1.98,White sandwich bread loaf,Bakery,true,A5,Wonder,3.9,https://images.pexels.com/photos/209206/pexels-photo-209206.jpeg
prod_006,Tyson Chicken Breast,8.97,Boneless skinless chicken breast,Meat,true,A6,Tyson,4.4,https://images.pexels.com/photos/616354/pexels-photo-616354.jpeg
prod_007,Tropicana Orange Juice,3.78,100% pure orange juice 52 fl oz,Beverages,true,A4,Tropicana,4.2,https://images.pexels.com/photos/96974/pexels-photo-96974.jpeg
prod_008,Cheerios Cereal,4.48,Honey Nut Cheerios family size,Cereal,true,A7,General Mills,4.6,https://images.pexels.com/photos/5946071/pexels-photo-5946071.jpeg
prod_009,Greek Yogurt,5.98,Chobani Greek yogurt variety pack,Dairy,true,A1,Chobani,4.5,https://images.pexels.com/photos/1435735/pexels-photo-1435735.jpeg
prod_010,Ground Beef 80/20,6.48,Fresh ground beef 1 lb,Meat,true,A6,Fresh,4.0,https://images.pexels.com/photos/361184/pexels-photo-361184.jpeg
prod_011,Apples Gala,1.98,Fresh Gala apples per lb,Produce,true,A2,Fresh,4.3,https://images.pexels.com/photos/102104/pexels-photo-102104.jpeg
prod_012,Doritos Nacho Cheese,2.78,Nacho cheese flavored tortilla chips,Snacks,false,A3,Doritos,4.2,https://images.pexels.com/photos/4958792/pexels-photo-4958792.jpeg
prod_013,Pepsi 2 Liter,1.98,Pepsi cola 2 liter bottle,Beverages,true,A4,Pepsi,4.0,https://images.pexels.com/photos/50593/coca-cola-cold-drink-soft-drink-coke-50593.jpeg
prod_014,Salmon Fillet,12.98,Fresh Atlantic salmon fillet,Seafood,true,A8,Fresh,4.7,https://images.pexels.com/photos/725991/pexels-photo-725991.jpeg
prod_015,Strawberries,3.98,Fresh strawberries 1 lb container,Produce,true,A2,Fresh,4.4,https://images.pexels.com/photos/89778/strawberries-frisch-ripe-sweet-89778.jpeg
prod_016,Oreo Cookies,3.48,Original Oreo sandwich cookies,Snacks,true,A3,Oreo,4.5,https://images.pexels.com/photos/230325/pexels-photo-230325.jpeg
prod_017,Shrimp Frozen,9.98,Frozen cooked shrimp 1 lb,Seafood,true,A8,Great Value,4.1,https://images.pexels.com/photos/725991/pexels-photo-725991.jpeg
prod_018,Lettuce Iceberg,1.48,Fresh iceberg lettuce head,Produce,true,A2,Fresh,3.8,https://images.pexels.com/photos/1656666/pexels-photo-1656666.jpeg
prod_019,Pasta Spaghetti,1.28,Barilla spaghetti pasta 1 lb,Pantry,true,A9,Barilla,4.3,https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg
prod_020,Cheese Cheddar,4.98,Sharp cheddar cheese block,Dairy,true,A1,Kraft,4.2,https://images.pexels.com/photos/773253/pexels-photo-773253.jpeg
